0,1,2,3,4,5,6,7,8
-0.2734816,0.97658336,-0.2144289,-0.45124424,-0.8694362,-0.055948306,-0.34232047,-0.6695757,-0.08624869
-0.33305186,1.0172147,-0.1860516,-0.53419954,-0.81654876,-0.16057932,-0.33763012,-0.7359724,-0.6632297
-0.46951607,1.1076682,0.004671335,-0.97713757,-0.7544179,0.45740145,-0.30746046,-0.8314681,0.21660306
-0.4803176,1.1455834,0.20177913,-0.8871152,-0.8084826,0.33628267,-0.3079798,-0.8598627,-0.2958724
-0.30462998,1.213175,-0.1257782,-0.7670737,-0.92327935,0.15074141,-0.33092904,-0.83674616,0.15711287
-0.16944458,1.2413508,-0.31334877,-0.5514946,-0.77275497,0.24301213,-0.3602715,-0.82808214,-0.6307661
-0.11741249,1.2878172,-0.1876471,-0.5540112,-0.8701798,-0.042978134,-0.35591128,-0.824454,-0.5900652
-0.06264548,1.2546854,-0.5621245,-0.649696,-0.7125769,0.27155557,-0.08414164,-0.78668886,0.21919283
-0.023077346,1.1754133,-0.3829348,-0.31680882,-0.8479393,-0.07852414,0.18156785,-0.71610427,-0.31066385
-0.05347062,1.1126059,-0.30425763,-0.5865313,-0.64539397,0.21678326,0.46686858,-0.7439464,0.023158874
-0.14451484,1.0583392,0.06941366,-0.9023884,-0.7346789,0.19924533,0.7400775,-0.8001527,-0.5899941
-0.12579595,1.0457969,0.2600174,-0.90609264,-0.549084,0.5160032,0.9616052,-0.89057463,-0.04078689
-0.16155154,1.0342244,0.39232922,-0.8875139,-0.6424913,0.26901898,1.2701578,-0.90816575,-0.38231245
-0.25168753,1.0434787,0.73647547,-0.5855549,-0.55673975,0.27028334,1.0988723,-0.86192524,-0.095112965
-0.31320754,1.0587598,0.9542656,-0.98495424,-0.40009925,0.65005696,1.1098908,-0.9552929,-0.64543694
-0.27822673,1.1059746,0.7636051,-0.8979369,-0.48960182,0.43184274,1.0017922,-0.89346564,-0.0765025
-0.29088467,1.096905,1.0669439,-0.6730001,-0.54489,0.32701787,0.93717843,-0.89230144,-0.099331096
-0.28398335,1.1140213,0.9700458,-0.31957772,-0.55867934,0.40452367,0.84516394,-0.99684954,-0.09026118
-0.30219123,1.1231278,1.1448166,-0.77723557,-0.37917745,0.4273414,0.81467515,-0.92962754,-0.080603346
-0.32022068,1.1485752,1.158781,-0.5996955,-0.47969353,0.012149528,0.74306655,-0.8498281,0.10863136
-0.33196437,1.1534948,1.3036425,-0.7305567,-0.42416692,0.08671672,0.67952406,-0.8659122,-0.32974604
