0,1,2
0.0049744844,0.0049020946,0.8996281
0.005303353,0.0051418245,0.9007616
0.00530535,0.0051527023,0.9006674
0.0052033365,0.005315572,0.8816252
0.004871011,0.0048052073,0.90018564
0.005002439,0.0049409866,0.8996115
0.0049527586,0.004897028,0.8996689
0.0046921372,0.0048820376,0.8807734
0.0042175353,0.0041158497,0.89825696
0.0042875707,0.0041255355,0.8992178
0.004229456,0.0042762756,0.87977856
0.0042670965,0.004138708,0.89859635
0.0042509437,0.0040986836,0.8992064
0.004285425,0.0041253865,0.8991755
0.0042151213,0.0042884946,0.87919325
0.0042610765,0.0041469634,0.89833724
0.004316002,0.0041000843,0.90018225
0.004337698,0.0040833354,0.9008699
0.0048344433,0.004629016,0.9018475
0.005026251,0.004906535,0.9016064
0.004938364,0.004929453,0.8997671
0.004864931,0.0051136613,0.88019323
0.0048891604,0.00493598,0.8987932
0.0048055053,0.005075723,0.8798667
0.004827231,0.0049000382,0.8984642
0.0048306882,0.004897982,0.89855444
0.0048112273,0.00508371,0.8798775
0.0048508346,0.004895687,0.8989566
0.004893869,0.0048930943,0.89977336
0.0048915446,0.0050603747,0.881994
0.0046850443,0.0045704246,0.89984167
0.004534453,0.004372865,0.8986019
0.004509151,0.0043118894,0.8993602
0.0053165853,0.0062084794,0.88179946
0.005375594,0.00596717,0.90077245
0.0053099096,0.0059684515,0.899702
0.0052865744,0.0070856214,0.8812062
0.0049118698,0.005550474,0.899976
0.0052922666,0.007065445,0.8815552
0.00550431,0.0063202977,0.90107024
0.0055140853,0.006309569,0.90134275
0.00582999,0.008009285,0.8818263
0.0053909123,0.006284982,0.8999411
0.0060768425,0.0076940656,0.90290785
0.005606681,0.006304562,0.90281653
0.0055577755,0.0065556765,0.88456696
0.0060534477,0.007609099,0.90356135
0.0053449273,0.005806446,0.9041046
0.005051285,0.0055021644,0.902912
0.0055555105,0.0066901743,0.9044119
0.005083233,0.005494714,0.9035187
0.005027503,0.0055000484,0.90253687
0.0054542124,0.006693095,0.9028647
0.005681008,0.006429136,0.9027071
0.0057246983,0.0065180063,0.9025233
0.0056217313,0.0067830086,0.88318634
0.005651891,0.0065137446,0.90146947
0.006131381,0.007936835,0.90175724
0.005620539,0.0067735314,0.88327396
0.004768729,0.0049007237,0.89926004
0.0045141876,0.0046379566,0.8982515
0.004422903,0.0048118234,0.8778076
0.004515648,0.004619032,0.8985402
0.0044403076,0.0047864616,0.87865365
0.0044656396,0.004629642,0.8973919
0.0040144026,0.0042957664,0.8765515
0.0038631856,0.003906846,0.89594585
0.0038157105,0.0040453076,0.87609863
0.0046494305,0.004766941,0.89728296
0.003799647,0.00406301,0.8752837
0.0037478209,0.0038644075,0.8946178
0.0038952827,0.004160732,0.8751975
0.004044324,0.0042892992,0.8755344
0.0040780306,0.0041539073,0.8949524
0.0040184855,0.004306495,0.8745122
0.003995836,0.004322231,0.8735925
0.0040637255,0.0041626096,0.894493
0.00371027,0.0039716065,0.87538517
