0,1,2
-0.1487614,-0.2691108,1.2646488
-0.14868432,-0.2925202,1.2441535
-0.14818586,-0.29032734,1.245132
-0.14629692,-0.27953044,1.2011176
-0.15620291,-0.27512184,1.2512543
-0.14856696,-0.2670228,1.266698
-0.15035596,-0.2669559,1.2660685
-0.15513794,-0.26140404,1.2111136
-0.15295184,-0.24267834,1.2089293
-0.15638629,-0.26012176,1.2167659
-0.15325682,-0.25539994,1.1872151
-0.15313344,-0.24947338,1.2133255
-0.15777795,-0.2586398,1.2179619
-0.15611705,-0.2593453,1.2165416
-0.1507439,-0.24708398,1.1865046
-0.15176947,-0.24495812,1.2097313
-0.16553667,-0.27690837,1.2181917
-0.17217195,-0.28903446,1.2194363
-0.16527098,-0.30938452,1.2206845
-0.16345309,-0.2977994,1.2282643
-0.15375024,-0.26170057,1.2608101
-0.14927027,-0.24847962,1.2173033
-0.14884065,-0.24363801,1.2771552
-0.14938346,-0.24194604,1.2268913
-0.14868549,-0.23610829,1.2873602
-0.14911745,-0.2377421,1.2861464
-0.14941171,-0.24176009,1.2261983
-0.15108791,-0.24495617,1.2792969
-0.15520352,-0.2599857,1.2655345
-0.15838678,-0.27516222,1.1954294
-0.15468536,-0.27207434,1.2578965
-0.14561354,-0.25302023,1.2131532
-0.15362863,-0.26495582,1.2242312
-0.15190963,-0.22875425,1.2080699
-0.15448608,-0.23488799,1.2564564
-0.14914005,-0.21547064,1.2720851
-0.15736601,-0.17164706,1.2228249
-0.16168286,-0.21509852,1.2674378
-0.15886295,-0.17754476,1.214134
-0.16434889,-0.21727313,1.2491251
-0.1655532,-0.22293445,1.2417651
-0.15995444,-0.1610612,1.2140998
-0.16152397,-0.19454366,1.2718238
-0.16997942,-0.20813116,1.2235166
-0.17270362,-0.2518475,1.2154206
-0.17133069,-0.25028923,1.1606675
-0.17421386,-0.21986067,1.2173052
-0.181776,-0.28892028,1.1905978
-0.1772222,-0.27291945,1.2147452
-0.18130797,-0.25739455,1.1976469
-0.18049163,-0.28499836,1.2043927
-0.1751942,-0.26560906,1.2209064
-0.17288676,-0.22678357,1.2245936
-0.17186639,-0.24605054,1.2221835
-0.17108737,-0.24045932,1.2248007
-0.16515867,-0.22196114,1.1850915
-0.16684866,-0.2199699,1.2426527
-0.1661657,-0.18091516,1.2461003
-0.16546977,-0.22361815,1.1827823
-0.16019003,-0.23628038,1.2688379
-0.15704697,-0.22574607,1.2783295
-0.15078624,-0.20617184,1.2458714
-0.15847655,-0.23162192,1.2776638
-0.15411414,-0.21911237,1.237316
-0.15297306,-0.21130624,1.2736692
-0.14884186,-0.20675847,1.1857749
-0.15149425,-0.19764921,1.1652733
-0.14978637,-0.19773184,1.1494793
-0.14468895,-0.21795136,1.2682084
-0.14674133,-0.182695,1.141222
-0.1489413,-0.16778621,1.1460751
-0.14300369,-0.18011281,1.1450205
-0.1392456,-0.1859253,1.1531346
-0.13863525,-0.17511666,1.1641866
-0.11899729,-0.16814439,1.143131
-0.09146199,-0.15316844,1.1346946
-0.12127608,-0.16569233,1.1587526
-0.15051429,-0.18522957,1.1380345
-0.1371825,-0.21122819,1.2226375
-0.13866192,-0.21887743,1.245648
-0.14177416,-0.22721902,1.270291
-0.14076371,-0.22656174,1.241189
-0.14590633,-0.2425712,1.2807788
-0.13396119,-0.20166871,1.2296857
-0.13644226,-0.21049288,1.2375476
-0.13911067,-0.21698397,1.2622626
-0.14074963,-0.22902587,1.2422111
-0.14698875,-0.24135648,1.2065316
-0.13884793,-0.21694447,1.282257
-0.13719535,-0.21484472,1.245459
-0.13722171,-0.21349232,1.250141
-0.13807212,-0.21954575,1.2818882
-0.13551097,-0.20636196,1.2498534
-0.13115098,-0.19098058,1.2573265
-0.12982568,-0.18532725,1.2319572
-0.12877522,-0.18111831,1.2288656
-0.13049424,-0.18745822,1.2346767
-0.13115929,-0.18403518,1.2556132
-0.12823562,-0.18014617,1.2256241
-0.12349634,-0.16248491,1.213864
-0.041030943,-0.13732195,1.1263961
-0.097751945,-0.16596675,1.1616082
-0.14624883,-0.24442759,1.1898359
-0.15360169,-0.26275694,1.2223892
-0.14817424,-0.251366,1.2130506
-0.14844812,-0.25170577,1.1942137
-0.15534389,-0.26606953,1.2227097
-0.14946091,-0.24955213,1.2125851
-0.13870801,-0.2162654,1.1685579
-0.14338493,-0.22930947,1.1963779
-0.14032602,-0.22398676,1.1735142
-0.13986996,-0.21285743,1.1870657
-0.130394,-0.18825203,1.1535702
-0.13776574,-0.20220557,1.1811006
-0.1448158,-0.2396839,1.1859783
-0.14418045,-0.23205817,1.1990466
-0.14514694,-0.23525971,1.2015737
-0.146043,-0.21163991,1.1648418
-0.15294978,-0.21990378,1.2495308
-0.1658254,-0.21711557,1.2052087
-0.17673744,-0.19487834,1.1957136
-0.17625399,-0.19664237,1.1779546
-0.17764018,-0.19004476,1.2493153
-0.18300876,-0.19793886,1.2857033
-0.18799223,-0.23010811,1.1995795
-0.19098985,-0.23795415,1.2484679
-0.18997635,-0.23530254,1.2601656
-0.19329767,-0.2580816,1.2373452
-0.19291458,-0.25663778,1.2371022
-0.19664949,-0.27031526,1.2317735
-0.19104198,-0.24567784,1.2028842
-0.19338898,-0.250969,1.2385386
-0.1863996,-0.22518533,1.2337114
-0.1880045,-0.23098469,1.2351635
-0.17653242,-0.20020431,1.1686863
-0.1774808,-0.18012121,1.1187857
-0.17239696,-0.16676223,1.0931131
-0.17606686,-0.17444894,1.1169177
-0.16296972,-0.124799624,1.0739625
-0.1688031,-0.14551862,1.1011175
-0.16628271,-0.14175391,1.0829304
-0.17131364,-0.1624501,1.0912799
-0.16662851,-0.13450597,1.0949787
-0.17569508,-0.17985807,1.0991671
-0.18289444,-0.1979346,1.1284286
-0.1907859,-0.2185865,1.1414258
-0.19024107,-0.21713857,1.140264
-0.18490984,-0.20790923,1.1138897
-0.18431039,-0.2016019,1.1302985
-0.17936534,-0.18651477,1.1224946
-0.17562605,-0.17958088,1.0990598
-0.17717834,-0.17887531,1.1187953
-0.17515332,-0.17774388,1.0976923
-0.17622896,-0.17513393,1.116691
-0.17936534,-0.18651477,1.1224946
-0.1785339,-0.18928373,1.1038741
-0.18633328,-0.20693117,1.1340635
-0.18779999,-0.23996218,1.2129737
-0.18730012,-0.2272994,1.2029566
-0.18362156,-0.2011892,1.2829069
-0.18901399,-0.22746888,1.2592573
-0.19003049,-0.23286033,1.2539763
-0.1943252,-0.2500683,1.2378385
-0.18883392,-0.23310697,1.1962312
-0.19606733,-0.2567311,1.2300673
