0,1,2,3,4,5
0.37899622,0.4667065,0.52440226,0.63505805,0.6551665,0.74338484
0.36591715,0.44134712,0.5003212,0.6399728,0.66148376,0.73817074
0.40020013,0.4737769,0.49249113,0.652132,0.6799871,0.7540977
0.3951049,0.47122812,0.51037997,0.64441735,0.67101455,0.7431881
0.4203523,0.4952332,0.5118442,0.6740533,0.7024796,0.75895524
0.34843755,0.4237125,0.49295887,0.6291569,0.6476662,0.7264152
0.35429245,0.43482864,0.4916725,0.632379,0.6496249,0.7352152
0.36591482,0.4429017,0.49327844,0.6227316,0.6424601,0.725066
0.41841656,0.49265674,0.5402502,0.640171,0.6725979,0.7337105
0.39861327,0.47991815,0.52368104,0.64308333,0.66701937,0.73204505
0.46095374,0.53854954,0.5617604,0.6315247,0.6660422,0.7264185
0.4183267,0.49222806,0.53339034,0.6277691,0.6595006,0.7296594
0.4208111,0.48583275,0.5355374,0.5451659,0.57884884,0.6793343
0.43161315,0.4696781,0.5157904,0.43850422,0.48088664,0.6289254
0.4280928,0.4791039,0.5139049,0.5030725,0.5405012,0.6579366
0.4386231,0.51241136,0.5349548,0.6010405,0.6355901,0.73583263
0.4486753,0.524985,0.5383854,0.6558088,0.68797576,0.7346752
0.36548284,0.43909633,0.51357895,0.61737716,0.64006615,0.71988875
0.38149038,0.46197432,0.50849503,0.629997,0.65085477,0.7309638
0.3677618,0.4463329,0.49417797,0.63974255,0.6594835,0.7348868
0.4279121,0.50552815,0.5309867,0.6398205,0.6694594,0.730093
0.43629432,0.5068142,0.5182089,0.63940936,0.67166126,0.73073184
0.3965873,0.47131935,0.5118455,0.6162832,0.641718,0.71369004
0.4240313,0.50047714,0.52125275,0.639882,0.668553,0.7337154
0.390348,0.46596134,0.50458544,0.6298744,0.654845,0.73516965
0.39199865,0.46652645,0.5091049,0.6259243,0.6507491,0.7272619
0.36701018,0.437298,0.49267322,0.61888635,0.64147437,0.7233936
0.40307724,0.47478577,0.50846314,0.63201225,0.6591275,0.72575504
0.3919798,0.4734397,0.50812876,0.6304433,0.6512655,0.7251467
0.4000624,0.4768011,0.5145133,0.62068385,0.64614964,0.7247845
0.40024388,0.4642182,0.49914765,0.5881874,0.61843616,0.69869673
0.38322106,0.45161062,0.49248734,0.59385675,0.6184285,0.7068708
0.3860362,0.43172497,0.4915004,0.500926,0.53405416,0.6353283
0.40150046,0.45888898,0.50145054,0.5419794,0.5736802,0.6845913
0.4076071,0.46564594,0.50308305,0.5711118,0.6067267,0.70279765
0.41337472,0.4633598,0.51703507,0.48865712,0.52742296,0.6630754
0.3932361,0.44978425,0.5092246,0.47288197,0.503588,0.66327876
0.45546582,0.48406768,0.5262056,0.49942365,0.5562363,0.6734359
0.39325073,0.4681902,0.50130373,0.62629026,0.6508198,0.72928894
0.43419808,0.5078582,0.5180928,0.63159186,0.6649771,0.7360746
0.3703972,0.44122744,0.48597288,0.61942935,0.6439475,0.7278566
0.38242352,0.46181718,0.5006655,0.64891154,0.6720282,0.7482781
0.36242074,0.43944368,0.49524516,0.6229641,0.64385355,0.728802
0.38292775,0.45705426,0.4811432,0.63418204,0.65678996,0.7329933
0.34014413,0.4141239,0.46988633,0.6162338,0.6319732,0.723173
0.34877688,0.42681244,0.49120197,0.61782634,0.6350922,0.72655374
0.3897228,0.46200684,0.48929563,0.63330054,0.658139,0.72676706
0.36762267,0.44768018,0.4879216,0.6418549,0.660648,0.73047245
0.33405358,0.41568404,0.48040015,0.6228203,0.6341729,0.7215887
0.36450994,0.4413608,0.4802942,0.63762796,0.6570654,0.7247396
0.35327113,0.42896932,0.47871435,0.62430936,0.6408992,0.7161618
0.37049836,0.43797714,0.49232352,0.6161809,0.6412276,0.7143338
0.3698839,0.4526393,0.5022987,0.62977153,0.64891636,0.72944593
0.4033693,0.47438973,0.49425587,0.6409445,0.66922635,0.72944254
0.37762547,0.44619045,0.49649018,0.6188181,0.64292365,0.7104177
0.44105518,0.51136,0.5414449,0.6455954,0.68047595,0.7292651
0.4047336,0.47490096,0.50505877,0.65571785,0.68629456,0.74618423
0.43347853,0.5043715,0.51211286,0.6523219,0.6837568,0.728539
0.40522432,0.4814312,0.511756,0.6372927,0.66400635,0.7351742
0.44685686,0.5189897,0.5188011,0.6687853,0.7011382,0.7420955
0.44289818,0.5247816,0.5256162,0.66559803,0.6931813,0.73942506
0.3923829,0.47426406,0.5170395,0.6559492,0.6790513,0.7439141
