0,1,2,3,4,5
0.5473565,0.7139871,0.7393975,0.3747325,0.44230962,0.5017936
0.45643675,0.32904828,0.36276364,0.41205573,0.44436908,0.35126948
0.34646142,0.35482132,0.11256981,0.34700608,0.41827583,0.42821884
0.52900386,0.47933805,0.40012074,0.34947515,0.4123819,0.3993535
0.63196397,0.4829663,0.22722149,0.5107143,0.54625916,0.32996893
0.3454548,0.24330783,0.35390973,0.38573122,0.37656593,0.3019309
0.2777208,0.35531676,0.35640717,0.37964058,0.38229346,0.3697791
0.26544666,0.305964,0.25072408,0.23103094,0.26942587,0.2726264
0.72245,0.6675701,0.69512963,0.30204868,0.38569403,0.39322042
0.6015456,0.6111636,0.55410886,0.35939407,0.37422204,0.28528
0.69073844,0.7428162,0.7109461,0.015367985,0.16386533,0.23884106
0.6155932,0.619936,0.5747664,0.14924479,0.2806146,0.36644435
0.21914637,0.36144793,0.38530278,-0.8295839,-0.36760032,-0.074756145
-0.31333327,-0.15262985,-0.22228694,-1.634701,-0.98139155,-0.5914259
-0.10495019,-0.023869514,-0.13511431,-1.1332228,-0.6415589,-0.33212054
0.40957332,0.5460727,0.4704528,-0.23924041,0.0855577,0.40094137
0.6653582,0.62969136,0.47595406,0.28999853,0.3338349,0.20805168
0.5172292,0.37151766,0.5167856,0.24757719,0.33474803,0.30493307
0.4493432,0.47618425,0.39743996,0.26225352,0.328372,0.2967422
0.36377192,0.34601128,0.2826624,0.39458895,0.38891745,0.30033493
0.6023259,0.5970776,0.4879942,0.21025705,0.28808093,0.25955367
0.535112,0.40575898,0.17255735,0.11847305,0.23935723,0.18492031
0.4178276,0.41337776,0.31546307,0.07741618,0.16214609,0.18089843
0.56130016,0.49816096,0.33525372,0.1905446,0.29203415,0.24866581
0.42078078,0.41402137,0.28738332,0.21041703,0.3228047,0.33864784
0.46441972,0.40145218,0.29262972,0.17323947,0.28703475,0.2532904
0.32260323,0.1847663,0.15497613,0.18509555,0.2868998,0.24318433
0.48568344,0.36100852,0.19405532,0.18066883,0.27285147,0.18386078
0.42546463,0.43018794,0.31122994,0.21588111,0.25941038,0.19442034
0.44800425,0.45630944,0.35725522,0.10228157,0.23292851,0.26914692
0.21903586,0.1826762,0.014310122,-0.24452782,-0.045702457,0.119641066
0.17731297,0.16338038,0.0018610954,-0.14195967,0.04499674,0.1401794
-0.15492892,-0.23899043,-0.28406715,-0.96239483,-0.654758,-0.3482753
0.013971448,0.028160334,-0.10383701,-0.674278,-0.27504945,0.01287818
0.18587255,0.16305745,0.019393206,-0.42896032,-0.0966599,0.20898294
-0.10561955,0.08120191,0.06072831,-1.2231557,-0.65663016,-0.20008802
-0.29818797,0.035717964,0.054560184,-1.2716432,-0.67436635,-0.09689951
0.1584202,-0.046785355,-0.13814878,-1.1754346,-0.6052022,-0.33808827
0.38346076,0.35072803,0.17978287,0.15219522,0.2661581,0.25271344
0.5002254,0.4994855,0.30490208,0.06917286,0.22591805,0.3649366
0.2144115,0.20659804,0.12564039,0.17668247,0.26647925,0.33382893
0.46357536,0.46057892,0.35168123,0.4375038,0.47679472,0.4219017
0.31733418,0.3501078,0.35245275,0.27852106,0.33079958,0.3649943
0.19858813,0.21647477,-0.05255556,0.22955132,0.27304745,0.22444916
0.025440454,0.065184,0.014461279,0.2429905,0.27532625,0.24787807
0.26656497,0.3058102,0.34182596,0.27837586,0.3359549,0.34549975
0.30734205,0.24488223,0.02018857,0.22066665,0.25903273,0.18621945
0.30822444,0.33403492,0.21205997,0.41818762,0.3564682,0.24299407
0.16608047,0.2330904,0.25971174,0.3719225,0.32930255,0.2389214
0.22355688,0.22728789,0.09612894,0.3785665,0.3027234,0.19677281
0.18132794,0.15017688,0.05696106,0.2872038,0.25429392,0.1285348
0.34036374,0.15194237,0.13865042,0.16772628,0.23812175,0.19443512
0.39210522,0.4865166,0.43861198,0.32881427,0.34380555,0.33423924
0.39122415,0.2976128,0.053364277,0.25771523,0.27854586,0.20609689
0.37686312,0.1733234,0.106004715,0.15990806,0.22137523,0.09007311
0.6980878,0.62497437,0.5142274,0.25146317,0.35966277,0.23054671
0.5713477,0.37974298,0.24510288,0.42688584,0.47679114,0.36355615
0.5178772,0.3954419,0.11782861,0.2737887,0.28711987,0.10907292
0.5394453,0.46702278,0.30864334,0.24415827,0.3464005,0.2933445
0.60994804,0.4635234,0.15984797,0.38824368,0.4042716,0.1579423
0.6208565,0.55822027,0.33131814,0.38600612,0.37480164,0.15244293
0.6594254,0.589813,0.51397943,0.5076499,0.5167422,0.34220552
0.90751386,0.86193943,0.741457,0.58933187,0.6478019,0.48745394
0.71208596,0.6683322,0.65296364,0.43360543,0.47260404,0.42939043
0.8962208,0.85547507,0.7724507,0.5295594,0.6240771,0.50910044
0.8915316,0.88021445,0.7677901,0.5448549,0.57841253,0.446985
0.9815774,0.9671544,0.93511486,0.6345277,0.7246523,0.5882318
0.96128535,0.96656764,0.8403821,0.57869005,0.6280656,0.5263798
1.0130248,0.9240253,0.79340434,0.5791402,0.70412683,0.5143256
0.937387,0.8808397,0.90578103,0.56826067,0.6638763,0.61650157
0.99669933,0.9579462,0.92017365,0.58512545,0.68920064,0.5744679
0.84355676,0.70019317,0.49921298,0.9055445,0.86553645,0.58024836
0.8906957,0.7788235,0.5169482,0.8657603,0.8275604,0.5272541
0.96152556,1.0232098,1.0493143,0.7385895,0.7283275,0.5311918
1.0104117,0.9491899,0.77859163,0.8319819,0.81862855,0.5045159
0.96366453,1.0155826,0.9952414,0.7308171,0.7312696,0.52803564
0.95442367,0.95610666,0.76950645,0.73320913,0.71829677,0.52473235
0.9501288,0.96193576,0.88418293,0.7331722,0.74904704,0.6101701
0.9336542,0.9121977,0.86903334,0.83759665,0.8158667,0.6455748
0.7174909,0.7595149,0.75224185,0.61359906,0.6152222,0.62382865
0.83453584,0.7841456,0.6421802,0.6943648,0.7061629,0.5492554
1.0505126,0.97682846,0.74113584,1.0921521,1.0045655,0.6558516
0.9041811,0.9934279,0.8132224,0.8562355,0.8411677,0.8031738
0.8909855,0.9189186,0.83791184,0.71341205,0.7519703,0.6858735
0.99598694,0.92398036,0.83132267,0.8147111,0.8595984,0.75893974
1.0221976,1.076661,1.0148199,0.8536074,0.7909496,0.5716951
1.110224,1.0078678,1.313992,0.8158226,0.8952019,0.89674306
1.1732885,1.2275839,1.1562483,0.83439994,0.85578537,0.68298984
0.7140485,0.72410035,0.49493337,0.57622623,0.49620008,0.29018593
0.85418916,0.93951905,0.8446746,0.660475,0.65403914,0.62957597
0.4757905,0.68044496,0.4993651,0.8271146,0.67229295,0.5255928
0.581391,0.78553843,0.6282692,0.7811556,0.76711774,0.73827434
1.0601377,1.0436057,0.93350863,0.78946424,0.81344557,0.67450213
0.8932842,0.8255663,0.86282516,0.2303741,0.3602512,0.32754397
0.89697397,0.85565937,0.82364345,1.020194,0.9361918,0.75956273
0.87304735,0.8876121,0.8122902,0.7607391,0.71873116,0.53094506
0.8341398,0.8447422,0.701103,0.5858705,0.49314833,0.28914785
0.9401939,0.9508778,0.9571667,0.9370353,0.870204,0.6309149
0.92233515,0.88996255,0.75472236,0.47530198,0.5397105,0.29407454
0.9545219,1.1075037,1.1950336,0.68388057,0.53398705,0.49288917
0.9541658,1.0443927,1.1984973,0.95099616,0.8540957,0.78058577
0.5564339,0.5984751,0.542578,0.6859956,0.6098907,0.6480179
0.63058186,0.81228507,0.9268758,0.5862341,0.62799,0.67582107
0.59297836,0.6365706,0.42706132,0.71218705,0.49556637,0.18254566
0.72953534,0.91765666,0.92262745,0.80570173,0.63769007,0.5814655
0.6600611,0.72107005,0.49139023,0.73343945,0.5808799,0.39651537
0.65898657,0.7239237,0.461051,0.7753546,0.61644244,0.4308517
0.7125753,0.80162287,0.7744818,0.6641886,0.5079324,0.42692327
0.23958099,0.089550614,0.14215541,0.65501976,0.4628353,0.43618226
0.4094876,0.6364658,0.65240836,0.903373,0.7721026,0.70838976
