0,1,2,3,4,5
0.5565343,0.6777724,0.7625754,0.42443657,0.5228996,0.48848534
0.49243212,0.42734623,0.39086127,0.4005463,0.5290277,0.41348314
0.40097594,0.39714718,0.2511871,0.30168295,0.4865141,0.5009103
0.5313138,0.49040782,0.41652727,0.38395905,0.5086951,0.45773458
0.6096461,0.43663466,0.37277365,0.41578984,0.56825566,0.39802122
0.38774216,0.41067314,0.36635327,0.39524317,0.45639515,0.37871337
0.31483996,0.35924935,0.34819293,0.3551135,0.4424355,0.4111874
0.31356514,0.33085787,0.25990987,0.23134279,0.35356116,0.31520152
0.7073513,0.6665884,0.67439127,0.44200826,0.46272945,0.46039438
0.6183952,0.5822253,0.5084882,0.40853143,0.45397854,0.32424355
0.70308554,0.77406967,0.7399299,0.21864629,0.33267307,0.25316834
0.57763886,0.60636544,0.61169004,0.286978,0.37779045,0.40429425
0.06763613,0.4554397,0.63185644,-0.6629472,-0.22012115,0.119027615
0.0915606,0.0060731173,0.24336696,-1.9156779,-0.5260503,-0.20697248
0.06920123,0.080898404,0.21203613,-1.2779506,-0.32737744,-0.060279608
0.35041094,0.62861156,0.7078495,-0.08055687,0.26666784,0.41938114
0.71223557,0.6810373,0.50856256,0.36082578,0.4178393,0.26260638
0.4836048,0.4512831,0.48055458,0.32429767,0.4295206,0.35148025
0.45155203,0.43222702,0.3929379,0.26186562,0.4190917,0.30658793
0.42573774,0.34816146,0.3315761,0.35077906,0.43190384,0.35743642
0.6125573,0.6348715,0.48253036,0.30102897,0.38318205,0.29507637
0.49590147,0.44703698,0.24801373,0.14937449,0.35125113,0.23354864
0.3904574,0.42065644,0.33582473,0.16144013,0.25500965,0.21957064
0.548085,0.52582407,0.33947587,0.21980691,0.39638972,0.27309084
0.42029667,0.3906262,0.31856132,0.22111559,0.4399631,0.36531496
0.44570994,0.35156655,0.2941513,0.19113159,0.411052,0.27711773
0.33774924,0.16108227,0.18442678,0.17849803,0.41039205,0.29385972
0.4564569,0.32411528,0.2503798,0.18749309,0.37673163,0.23367023
0.43619907,0.439703,0.29980254,0.19421768,0.31958938,0.20199728
0.42479658,0.45144153,0.3991506,0.1575191,0.3447671,0.27625036
0.14638007,0.21574938,0.13462853,-0.11153197,0.05612111,0.17061019
0.1483103,0.14151883,0.093309164,-0.10307455,0.17398238,0.15628815
-0.15101266,-0.19926059,-0.03560543,-0.83806896,-0.5046557,-0.112965345
-0.090711,0.012036085,0.14836526,-0.5207766,-0.09197664,0.0679338
0.077129364,0.1831212,0.24014616,-0.2973416,0.04070449,0.2796216
0.099787354,0.18018544,0.48144984,-1.2932824,-0.38919473,0.14247155
-0.13584757,0.19134855,0.5213244,-1.520702,-0.32213652,0.103384495
0.47838247,-0.05365181,0.25414634,-1.0053223,-0.3002684,0.2172463
0.38302612,0.33155084,0.20717025,0.13571763,0.37176728,0.27390718
0.44616878,0.60838413,0.4141953,0.17378497,0.32141614,0.4030497
0.26713884,0.2561016,0.18003774,0.19514155,0.36726952,0.4042809
0.51643133,0.453879,0.396971,0.39627624,0.54066205,0.46779394
0.35990036,0.38928938,0.3738606,0.30609632,0.42062545,0.41244817
0.24440503,0.22347867,0.08705354,0.13948846,0.3157518,0.27872562
0.1304481,0.08159888,0.07740021,0.19752026,0.332793,0.2976141
0.31584287,0.3135028,0.35222054,0.27073383,0.43912625,0.3714745
0.31518888,0.26360703,0.15796185,0.17591238,0.31535482,0.260314
0.35425735,0.36654246,0.31198144,0.3527112,0.35819316,0.3167205
0.20542765,0.22165823,0.2505598,0.2870369,0.3477862,0.2711017
0.2587937,0.2944249,0.24528217,0.31836748,0.30198884,0.29632545
0.24201345,0.1592896,0.15687346,0.21420932,0.27296925,0.1967268
0.34241796,0.21389532,0.21004152,0.20849872,0.34728336,0.2844894
0.42995787,0.49515903,0.43934345,0.33540058,0.41709042,0.36152172
0.37878335,0.35135436,0.2293315,0.2457161,0.3363645,0.30737686
0.3676778,0.24372566,0.19037175,0.16288805,0.32460284,0.16451955
