0,1,2,3,4,5
0.53594255,0.5023683,0.8247943,0.36309457,0.56989205,0.52458584
0.45027548,0.46653837,0.4219988,0.50397456,0.5020002,0.40083623
0.3661026,0.59861994,0.36710638,0.36581507,0.4528985,0.5902595
0.5209829,0.6630196,0.6656609,0.4664153,0.52004147,0.5022193
0.6504986,0.5308729,0.3974708,0.5406237,0.6581682,0.5271706
0.3191428,0.32242417,0.36627072,0.48988196,0.43309405,0.33472013
0.30735224,0.4958753,0.49391052,0.487715,0.4408931,0.44567874
0.37008792,0.5474642,0.57788956,0.46121317,0.45161137,0.46900216
0.74769783,0.57477283,0.62068534,0.3113517,0.45932046,0.33952793
0.71309316,0.6865307,0.7593885,0.558724,0.6265263,0.47210348
0.41768652,0.66750515,0.2495115,-0.21500327,-0.019729607,-0.033386752
0.6906792,0.5950871,0.5555336,0.23050848,0.41610104,0.35316458
-0.42831832,0.2626661,-0.3465478,-1.6545424,-1.0197421,-0.8195464
-1.1207945,-0.020906314,-1.002079,-3.077981,-1.7853494,-1.4804821
-0.445184,0.2735713,-0.49120757,-1.9627731,-0.9583768,-0.72767794
0.23668638,0.58702695,0.35628325,-0.42117333,-0.02848886,0.26443005
0.9048602,0.7390845,0.5607978,0.53919744,0.67076325,0.46758
0.5354091,0.42032862,0.689898,0.3446133,0.5177173,0.36121154
0.553314,0.6695951,0.77770185,0.5083028,0.57117236,0.5178881
0.4276119,0.5544851,0.4291098,0.51862776,0.49674064,0.44872552
0.8056935,0.7128529,0.5821676,0.43667245,0.64697987,0.4402901
0.76902485,0.7235578,0.4395846,0.46419245,0.61685646,0.6090178
0.6051334,0.632031,0.59581983,0.3604346,0.5374104,0.46909833
0.7512735,0.74834126,0.58911455,0.48272702,0.63942003,0.58769333
0.49771053,0.6710875,0.6536591,0.4272223,0.52651453,0.5511374
0.5974018,0.65730506,0.67523617,0.44597477,0.5733482,0.52153754
0.42024818,0.483041,0.43362662,0.40468508,0.47670296,0.4413442
0.6564722,0.69024664,0.5541887,0.5105238,0.58382183,0.51346236
0.62783295,0.736253,0.73057675,0.5738816,0.6093638,0.5524371
0.61232954,0.67800045,0.6225883,0.35727787,0.5754585,0.5372771
0.4508037,0.53939986,0.36638257,0.07948218,0.29371762,0.43297955
0.41897193,0.60283965,0.520897,0.23593046,0.45200753,0.5634992
-0.12517753,0.14223419,-0.013230736,-0.9518349,-0.6302434,-0.08794434
0.1896303,0.47870407,0.19883741,-0.4585618,0.020373236,0.33631742
0.29323566,0.43599138,0.2347593,-0.28544486,0.0068097115,0.36809224
-0.6586562,0.04472816,-0.5569287,-2.3409233,-1.4454778,-0.878996
-0.65369177,0.05029048,-0.40569416,-2.2228553,-1.3620049,-0.5664727
-0.5391312,0.17054573,-0.7955905,-2.3223546,-1.1973289,-0.8111653
0.5341678,0.70384955,0.5978266,0.4672068,0.54983413,0.57243365
0.5914067,0.69747424,0.44538772,0.24353972,0.47536242,0.5038857
0.2716574,0.52551997,0.43358314,0.32581693,0.3756616,0.48903042
0.46414483,0.67311317,0.5258613,0.5118798,0.528118,0.52007943
0.34480968,0.47213176,0.6097494,0.39982492,0.4338549,0.45649233
0.3758635,0.5146327,0.29609632,0.37973982,0.47372162,0.5670524
0.1656348,0.2513612,0.14729339,0.32598263,0.37697387,0.44496143
0.31863776,0.45886564,0.5577402,0.43782377,0.4465746,0.44259378
0.46965688,0.56735003,0.3887223,0.4344949,0.49236563,0.5193678
0.4140688,0.53200185,0.35319906,0.53601706,0.48231024,0.45009586
